date,cap
176,1.968789826
177,1.968166176
178,1.957230792
179,1.945599151
180,1.934750504
181,1.923279954
182,1.911889931
183,1.901066714
184,1.889198995
185,1.878278372
186,1.867569716
187,1.867589257
188,1.979626548
189,1.957549908
190,1.945815017
191,1.924246112
192,1.945981133
193,1.901407931
194,1.878674214
195,1.868306133
196,1.856024407
197,1.845199796
198,1.857228891
199,1.924776089
200,1.882231753
201,1.855276688
202,1.839250892
203,1.818539607
204,1.813477006
205,1.797101845
206,1.781004629
207,1.771013042
208,1.760471245
209,1.750291379
210,1.739492504
211,1.754676655
212,1.765939094
213,1.733788742
214,1.713325912
215,1.702407781
216,1.823719462
217,1.808128405
218,1.775761095
219,1.744740984
220,1.729207034
221,1.708108655
222,1.697595424
223,1.682063452
224,1.671476832
225,1.660759139
226,1.651121015
227,1.640134926
228,1.629199942
229,1.60884963
230,1.60352449
231,1.598971214
232,1.587627312
233,1.582971974
234,1.567137637
235,1.561344614
236,1.551171189
237,1.540674161
238,1.525313874
239,1.530157032
240,1.524656683
241,1.514549299
242,1.509391505
243,1.503997433
244,1.493520192
245,1.487632302
246,1.530287621
247,1.504076009
248,1.488759361
249,1.478277929
250,1.478459982
251,1.473214845
252,1.467516494
253,1.451629266
254,1.451923772
255,1.447148469
256,1.446853811
257,1.441674193
258,1.593586659
259,1.546390238
260,1.514705592
261,1.498978608
262,1.483111075
263,1.472966483
264,1.46276044
265,1.451836468
266,1.446867064
267,1.441380399
268,1.431210745
269,1.426024718
270,1.42048765
271,1.420700623
272,1.452255804
273,1.431557633
274,1.415015751
275,1.409731151
276,1.404917318
277,1.395164297
278,1.394534383
279,1.389317118
280,1.383837947
281,1.373681424
282,1.378605989
283,1.37376003
284,1.368258058
285,1.363302404
286,1.358096614
287,1.353269091
288,1.384160574
289,1.405146779
290,1.378719023
291,1.368265778
292,1.35731513
293,1.352493464
294,1.347409915
295,1.337007513
296,1.331235297
297,1.325930378
298,1.321578744
299,1.321225074
300,1.31564853
301,1.32090257
302,1.347432877
303,1.326012807
304,1.310118678
305,1.305216202
306,1.300406195
307,1.300235736
308,1.289506672
309,1.279253057
310,1.279207817
311,1.274036761
312,1.274127392
313,1.263763943
314,1.258137369
315,1.253259864
316,1.253231332
317,1.248087496
318,1.253435428
319,1.289804877
320,1.263540202
321,1.247976171
322,1.232120288
323,1.227113767
324,1.221739758
325,1.211102679
326,1.205615977
327,1.200893626
328,1.190590399
329,1.185179251
330,1.179670682
331,1.174595284
332,1.153818332
333,1.164400956
334,1.158797495
335,1.174974883
336,1.185675233
337,1.891052295
338,1.880637028
339,1.880662672
340,1.880770901
341,1.879450873
342,1.880700352
343,1.879935252
344,1.881508812
345,1.869690787
346,1.87005238
347,1.870044239
348,1.859651899
349,1.859074656
350,1.859008458
351,1.859362259
352,1.858735545
353,1.847817291
354,1.848525292
355,1.848378952
356,1.880780544
357,1.88147216
358,1.881095431
359,1.871008965
360,1.870199515
361,1.870671536
362,1.859612464
363,1.86003391
364,1.859165311
365,1.848139818
366,1.849201702
367,1.883467744
368,1.862821112
369,1.85208504
370,1.846950465
371,1.836828431
372,1.837161962
373,1.831672258
374,1.821147095
375,1.816506092
376,1.81138156
377,1.811605633
378,1.806054896
379,1.813204183
380,1.806264194
381,1.795831025
382,1.78588526
383,1.78032686
384,1.81507569
385,1.815702515
386,1.800243218
387,1.790447621
388,1.780343032
389,1.77532877
390,1.770262973
391,1.760081062
392,1.749647594
393,1.749650075
394,1.745028739
395,1.739645746
396,1.728564228
397,1.723900325
398,1.713978878
399,1.7139702
400,1.703652117
401,1.704013747
402,1.693571616
403,1.687657736
404,1.683074436
405,1.677927014
406,1.673206028
407,1.667436721
408,1.662266263
409,1.657424307
410,1.652538685
411,1.647217463
412,1.636413681
413,1.636255431
414,1.641119179
415,1.631570079
416,1.621213283
417,1.616427321
418,1.61582351
419,1.61672418
420,1.610865586
421,1.600660337
422,1.595917449
423,1.596217952
424,1.595806511
425,1.590650782
426,1.688821116
427,1.625993828
428,1.615743386
429,1.605662676
430,1.594974692
431,1.590410244
432,1.585351706
433,1.579973715
434,1.575218547
435,1.569798485
436,1.570256538
437,1.565249874
438,1.559633934
439,1.564982053
440,1.5749795
441,1.565281117
442,1.559755497
443,1.549897686
444,1.543877153
445,1.545018749
446,1.544594015
447,1.534308672
448,1.528760394
449,1.528926025
450,1.52909165
451,1.523905932
452,1.518667542
453,1.513648227
454,1.513605019
455,1.513947061
456,1.533959919
457,1.53913728
458,1.523624797
459,1.513581304
460,1.507785075
461,1.503196068
462,1.49782206
463,1.492848535
464,1.49241439
465,1.487482777
466,1.482535149
467,1.482787432
468,1.47697118
469,1.481901555
470,1.49813662
471,1.482077521
472,1.477115531
473,1.472077278
474,1.472248014
475,1.467010667
476,1.46176725
477,1.456695267
478,1.451354973
479,1.451615926
480,1.446816133
481,1.446757061
482,1.441379748
483,1.436245625
484,1.436815415
485,1.436294515
486,1.441857532
487,1.467206348
488,1.451864037
489,1.447137975
490,1.441790587
491,1.431630948
492,1.431808425
493,1.426256259
494,1.426087753
495,1.421263351
496,1.416327275
497,1.416578183
498,1.410840173
499,1.410994963
500,1.406171429
501,1.406335848
502,1.40045524
503,1.421786505
504,1.432455272
505,1.855004521
506,1.843195532
507,1.839601842
508,1.830673604
509,1.832700207
510,1.828528885
511,1.82120119
512,1.815170011
513,1.804298052
514,1.82310023
515,1.812125352
516,1.804691638
517,1.79084435
518,1.783470723
519,1.780938613
520,1.77120904
521,1.7686304
522,1.75363048
523,1.746219742
524,1.737664734
525,1.731516674
526,1.708594989
527,1.711469957
528,1.707502137
529,1.749238206
530,1.732769715
531,1.722231333
532,1.711846299
533,1.699267835
534,1.694036644
535,1.681902708
536,1.676977062
537,1.665522931
538,1.657192458
539,1.648224156
540,1.63877015
541,1.627648691
542,1.622153702
543,1.614006651
544,1.676051615
545,1.649300643
546,1.632382992
547,1.616415972
548,1.610902838
549,1.595463869
550,1.72670744
551,1.716567392
552,1.695823557
553,1.677778319
554,1.66065869
555,1.666410927
556,1.646833617
557,1.625763993
558,1.612157741
559,1.605736682
560,1.673645315
561,1.640434857
562,1.613265332
563,1.592096432
564,1.586601182
565,1.580076649
566,1.564173295
567,1.555618272
568,1.540204528
569,1.532161302
570,1.53162324
571,1.522259595
572,1.506526713
573,1.501421956
574,1.496353412
575,1.5334262
576,1.523845268
577,1.501192099
578,1.492417671
579,1.483323852
580,1.480737679
581,1.473507781
582,1.468019285
583,1.458092356
584,1.447866099
585,1.452780878
586,1.442535636
587,1.439271288
588,1.428647568
589,1.424902675
590,1.469811532
591,1.452581965
592,1.442834199
593,1.428376059
594,1.415454784
595,1.45457667
596,1.428317955
597,1.419702688
598,1.415560663
599,1.405680035
600,1.408446107
601,1.396854778
602,1.393567037
603,1.389364429
604,1.378565142
605,1.38490111
606,1.370325181
607,1.373346439
608,1.367948729
609,1.356714109
610,1.460431021
611,1.450099894
612,1.43814069
613,1.428368198
614,1.414787452
615,1.413889163
616,1.398933166
617,1.395332258
618,1.39004613
619,1.386027145
620,1.38821526
621,1.376182656
622,1.36471689
623,1.358985474
624,1.346230876
625,1.426842782
626,1.406448148
627,1.393490749
628,1.388249351
629,1.370187834
630,1.379695167
631,1.368658632
632,1.362737178
633,1.363405113
634,1.351864604
635,1.354796973
636,1.341051441
